epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.1170945577555462,0.9134972413518437,0.5679930795847751,0.7048442906574395
2,0.8984647995047915,0.7344037247364084,0.7116782006920416,0.7913494809688582
3,0.8094407533691829,0.7209959143173323,0.7525951557093425,0.7788927335640139
4,0.7400887852309072,0.7349025415714224,0.7763840830449827,0.7730103806228373
5,0.700308123220622,0.6802436406224657,0.7870242214532872,0.7920415224913495
6,0.6724709611863001,0.5736909411357761,0.7932525951557093,0.8186851211072664
7,0.6433983823419854,0.5054198748512664,0.8015570934256055,0.8290657439446367
8,0.6193214769388152,0.5059470823891847,0.8087370242214533,0.8418685121107267
9,0.5934454994630649,0.4912393706067623,0.818598615916955,0.8363321799307959
10,0.5811040433220385,0.577911423069383,0.8199826989619378,0.8221453287197232
11,0.5587225985774532,0.575947993106908,0.822318339100346,0.7878892733564014
12,0.5407308764111212,0.5810724948104278,0.8282006920415225,0.8217993079584776
13,0.5274793622402997,0.4932938466022584,0.830795847750865,0.8463667820069204
14,0.5229517253624939,0.49029390811920165,0.8331314878892734,0.8491349480968858
15,0.5084879781548127,0.44080504455368413,0.83719723183391,0.8391003460207612
16,0.5018987533542937,0.4619043498509483,0.8393598615916955,0.8408304498269896
17,0.49244846559313343,0.5696802956835209,0.8414359861591696,0.8231833910034602
18,0.4824412696501788,0.6564963735923635,0.8439446366782007,0.7349480968858132
19,0.480122904402162,0.44997475229745093,0.8433391003460208,0.8467128027681661
20,0.4661532821127288,0.4251980807129487,0.8476643598615917,0.8387543252595155
21,0.45754996387603786,0.4141116067199971,0.8444636678200692,0.859515570934256
22,0.4455943923920496,0.40817749883889326,0.8511245674740484,0.8543252595155709
23,0.4407880181672251,0.43581983717255113,0.8499134948096886,0.8394463667820069
24,0.4457555063455575,0.5558364242418414,0.8507785467128027,0.7927335640138409
25,0.43161035545144527,0.3881641543860254,0.8518166089965398,0.8608996539792387
26,0.4205011752237498,0.7332995569004732,0.8576124567474048,0.7155709342560553
27,0.4208184879956361,0.37489691444746764,0.8513840830449827,0.8612456747404844
28,0.4174547436121838,0.38077349295665647,0.8558823529411764,0.8698961937716263
29,0.4086580469534059,0.378704712341401,0.8599480968858132,0.8705882352941177
30,0.40325456816432387,0.3769809640402612,0.8635813148788928,0.857439446366782
31,0.3979604957219226,0.6385791693591741,0.8619377162629758,0.7608996539792388
32,0.3964463645199178,0.37825007314913,0.8631487889273356,0.8608996539792387
33,0.39256559193753043,0.37805216815644893,0.8641003460207612,0.860553633217993
34,0.38615018156160535,0.370616693686449,0.8669550173010381,0.8643598615916955
35,0.39070365371176113,0.376414495046576,0.8643598615916955,0.8622837370242215
36,0.37742700156043557,0.3550876540708707,0.869636678200692,0.8681660899653979
37,0.37681246789681455,0.4030974872797006,0.8679065743944636,0.8532871972318339
38,0.37715929895123806,0.5975578124960401,0.8692041522491349,0.7802768166089965
39,0.3694859774261197,0.35603615670468153,0.8732698961937716,0.8692041522491349
40,0.36941283669026254,0.4050289421345536,0.8717128027681661,0.845674740484429
41,0.3651125805600704,0.3569925967384787,0.8714532871972318,0.8657439446366783
42,0.35657789529813616,0.37421826280937065,0.8720588235294118,0.8619377162629758
43,0.35622397197159106,0.35793998484793005,0.87439446366782,0.8685121107266436
44,0.3558401924722335,0.4055973669649408,0.87439446366782,0.8397923875432526
45,0.3493145418208363,0.3435022772389712,0.8763840830449827,0.8768166089965398
46,0.3442506779642666,0.345175402840941,0.8768166089965398,0.8813148788927335
47,0.3393802994881534,0.38690318087805514,0.8786332179930796,0.8615916955017301
48,0.3442147061899047,0.4503149194288419,0.875,0.842560553633218
49,0.33201184184081,0.3911874354091895,0.8826124567474048,0.8657439446366783
50,0.3383841613172247,0.3474114733583787,0.8773356401384083,0.870242214532872
51,0.32541931215867037,0.4021429676910585,0.8837370242214533,0.8401384083044983
52,0.32383391721025884,0.3884044908322265,0.8837370242214533,0.860553633217993
53,0.325398354546834,0.4797406747266908,0.8846885813148789,0.8245674740484429
54,0.32087672334228834,0.4540896992369919,0.8858996539792388,0.8401384083044983
55,0.322654591959653,0.38792345189718225,0.8826124567474048,0.8435986159169551
56,0.3126031444456338,0.3381373174875253,0.8878027681660899,0.8823529411764706
57,0.3104074011624478,0.33047237441614014,0.8878892733564013,0.8813148788927335
58,0.3130090372166419,0.3508007280554326,0.8862456747404844,0.8775086505190312
59,0.3021353235088005,0.3868968877412869,0.8911764705882353,0.845674740484429
60,0.3058785985085378,0.3504586272173687,0.8890138408304499,0.8615916955017301
61,0.2945923873503728,0.4187864194279311,0.8939446366782007,0.8532871972318339
62,0.30124760682607604,0.4403234178013455,0.889446366782007,0.8612456747404844
63,0.3010197434870842,0.36496988167812255,0.8916955017301038,0.8633217993079585
