epoch,train_loss,train_mae,val_loss,val_mae,val_mse_recon,val_mae_recon,val_corr_recon,time
1,0.12065325242777665,0.2353811833363042,0.05550648491511973,0.16670112230981043,,,,29.2s
2,0.06498442558013688,0.1803870005258025,0.052422047672114634,0.16256297766700273,,,,28.8s
3,0.05870899606008821,0.1713234733491507,0.04907189390456029,0.15707710171623748,,,,28.9s
4,0.05621201082089531,0.16750455676000328,0.04763825359039529,0.15511167164920836,,,,28.8s
5,0.053211597026274676,0.16303990759301287,0.04570220640405666,0.15276222502769427,,,,28.9s
6,0.05129877096710074,0.16079124006666715,0.04635966849303985,0.15521356041810308,,,,28.9s
7,0.04964433846217167,0.15814661725035198,0.045578677885869674,0.15151907931002537,,,,29.0s
8,0.048872519980031476,0.1559451031754037,0.04488585783933946,0.15070858020191044,,,,28.9s
9,0.04855337610098883,0.15584218352718696,0.043619678926098256,0.14775949283394701,,,,28.9s
10,0.047860216447604104,0.15436708042201613,0.04463077878016372,0.14992382244546285,1.5103925,0.82926863,-0.0660893,29.1s
11,0.04793124070650415,0.15415188391940504,0.043297097779983695,0.14808606841536456,,,,28.5s
12,0.04695813299671507,0.15268296688669342,0.04268579655723979,0.14762061730373738,,,,28.0s
13,0.046024822119136145,0.152080672498368,0.0424510533379954,0.14692583622396455,,,,28.0s
14,0.045991147530386974,0.1516887770832088,0.041498729208296586,0.14494892642941587,,,,28.0s
15,0.045831335142632074,0.15095072637316043,0.044907615065228106,0.15154292792543883,,,,28.0s
16,0.045399301752196586,0.15060459431025047,0.04244107218791348,0.14819501507882923,,,,28.0s
17,0.0454729654067805,0.15036087610487697,0.04355666966921137,0.14804625545823297,,,,28.0s
18,0.044583109242818025,0.14894413390051464,0.0417886887236621,0.1450706270429515,,,,28.0s
19,0.044274995394271134,0.14852808084228875,0.04237019890096298,0.14705848861341328,,,,28.0s
20,0.04395611303217929,0.14780600293527676,0.042327095877177034,0.1458453758973484,1.4903057,0.85424346,-0.060714707,28.3s
21,0.04458247110216175,0.14909872981692165,0.04115184501910857,0.1449066540298536,,,,28.0s
22,0.04407253449209003,0.1480056263726472,0.04281908174067042,0.14823201252508533,,,,28.0s
23,0.043695136201312525,0.14740323599129287,0.04210277583247932,0.14584796355907306,,,,28.0s
24,0.04454974885951366,0.1490343555588008,0.042881358284936395,0.14774530121060306,,,,28.0s
25,0.04371133054516235,0.14740224680882968,0.04068829883034377,0.14407307752805162,,,,28.0s
26,0.04307054907460756,0.14622738908677665,0.04111989033083583,0.143889574810516,,,,28.0s
27,0.04324499440658445,0.14649424099909605,0.04128688173873942,0.14340623381525971,,,,28.0s
28,0.04344771547392325,0.1463380227737789,0.041954558053913044,0.14649451287217843,,,,28.1s
29,0.043075994136527115,0.1462327554853405,0.04109275977798672,0.14347935098317244,,,,28.0s
30,0.0429513474281893,0.14631899135022225,0.04168312130279319,0.1444140295534171,1.4680283,0.81516695,-0.054350853,28.3s
31,0.04300099817980945,0.14594635920685556,0.041533068385581635,0.14456338106199754,,,,28.0s
32,0.04247711686110949,0.1453669506915008,0.04060976511921532,0.1424501637617747,,,,28.0s
33,0.042373401195376734,0.1453597638677444,0.04130903921674851,0.1441843457115713,,,,28.6s
34,0.042160243106385074,0.14476364043065768,0.039998002292573914,0.14145864615606707,,,,29.1s
35,0.04207963775843382,0.14473753037394854,0.04077645093780155,0.143115982817587,,,,28.7s
36,0.04234007950714998,0.14475041098169636,0.04086568125689677,0.14323048530391944,,,,28.7s
37,0.04174788825543998,0.1441471852393593,0.04057688875369323,0.143423144034175,,,,28.8s
38,0.042287907830364846,0.14530235761580085,0.04085542378557283,0.14412397862404816,,,,28.8s
39,0.041865422504360664,0.14427465110828605,0.041059391414241274,0.14431433835925983,,,,28.8s
40,0.04197963163696764,0.14456604135061618,0.04097739260557086,0.14347660478002341,1.3236297,0.75967836,0.09149397,29.1s
41,0.04229202060586918,0.14492115697465868,0.040732311474722484,0.14252600426128667,,,,28.8s
42,0.04165534627572771,0.14388208301887231,0.04119403862444929,0.14413471779851025,,,,28.8s
43,0.04231123503234693,0.14528884605076242,0.041341884105011474,0.14415698267461718,,,,28.8s
44,0.04142304760981587,0.14346556363918106,0.03987627395594767,0.14129596573206804,,,,28.6s
45,0.04162962897385977,0.14398108949326766,0.04196583707780801,0.1449754025007403,,,,28.0s
46,0.041571827974752035,0.1435026472536572,0.04086285371824291,0.1429908383031224,,,,28.0s
47,0.040685390668453544,0.14251963233080092,0.04123332025122273,0.14384286585011224,,,,28.0s
48,0.04155952085343972,0.14376488604626073,0.04073812372173912,0.1430666722184004,,,,28.0s
49,0.04120796635149652,0.14347693349238688,0.04014519427347091,0.14237174934657046,,,,28.0s
50,0.041349859397371104,0.1435787943407956,0.04116567735408628,0.1437916473247284,1.4514607,0.81652206,-0.03996733,28.2s
51,0.04109077235361569,0.14293435926427317,0.04038048076421716,0.14232800796974537,,,,27.9s
52,0.041208251218315416,0.1428044389320325,0.040277942524168844,0.1423633068568947,,,,28.0s
53,0.04169251104887528,0.14374488961533152,0.04018475298675918,0.14232893386321474,,,,28.0s
54,0.04104108752423449,0.1425981567661722,0.04116639595969703,0.14355592285246813,,,,27.9s
55,0.04087651588950102,0.1424627211337854,0.04025095230502675,0.1414108432309572,,,,27.9s
56,0.040927190758004973,0.14261353878846653,0.041480973507313765,0.1444900549890459,,,,27.9s
57,0.041011981552128804,0.1427995502823013,0.0410276503381572,0.14284759598184926,,,,28.0s
58,0.04086923740709884,0.14239299643140302,0.041270030951199604,0.14377904440774475,,,,27.9s
59,0.04121977528596478,0.14291523343525858,0.04108985861431259,0.1435811642066453,,,,27.9s
60,0.04112717226729237,0.1427307725738624,0.0401500627802786,0.14129659140756887,1.4327061,0.82393074,-0.109980375,28.2s
61,0.039987676879116,0.14085722903284845,0.040647481127764826,0.14250195632840312,,,,27.9s
62,0.0406025939656398,0.14196906347252145,0.040738507311126985,0.1428345928705016,,,,28.0s
63,0.04068238416270113,0.14191984542437244,0.0402125691374143,0.141635082719862,,,,28.0s
64,0.0408297999278654,0.14241987584701069,0.0398560652812553,0.1410262454734292,,,,28.0s
65,0.040756730276321054,0.14240268765622555,0.04087609082980211,0.1430664563248324,,,,27.9s
66,0.04050943778458401,0.1417853028399532,0.041073384109971134,0.1433066381502521,,,,27.9s
67,0.04087280519778216,0.14211277415355048,0.041238982490328854,0.14380490358254705,,,,258.5s
68,0.03998894793008953,0.14072077331537938,0.04084458525559699,0.1430879551195359,,,,28.7s
69,0.04059655306554293,0.14205263946441155,0.03982533748413241,0.14126733349737272,,,,28.7s
70,0.040825230918258806,0.14220604390094552,0.04114117445929568,0.14319093508082767,1.3911018,0.79217035,-0.0341691,29.2s
71,0.04003067085134329,0.14136416023353485,0.040723381737290426,0.14257576310819434,,,,28.8s
72,0.04090640854624882,0.1423124383962104,0.04055543037405772,0.1426198242824207,,,,28.8s
73,0.040551628999977926,0.14194625069068956,0.04099769448471624,0.14369780500960905,,,,28.8s
74,0.04051674042242866,0.14166280139976412,0.04006266941915649,0.14176453701978506,,,,28.8s
75,0.03989957107176006,0.14089093214286028,0.04027768397747084,0.14173631098612335,,,,28.9s
76,0.04029595174429789,0.14113183457891648,0.04024670595057713,0.1416696763431379,,,,28.8s
77,0.040465451258270044,0.14175953741189296,0.04017654612891434,0.14131327106278072,,,,28.8s
78,0.040285416725504244,0.1412045768764703,0.040824949741363525,0.14304229611343192,,,,28.7s
79,0.04051360858502141,0.14165444175402322,0.039949087931435236,0.14126151222591252,,,,28.8s
80,0.04058737731008213,0.14190695860780744,0.04090993717139543,0.14287824478260305,1.3634086,0.774257,-0.07253,29.1s
81,0.04039573208880827,0.14127340178763817,0.03961849852299043,0.14056567408779794,,,,28.8s
82,0.04056383900438683,0.14195584782442464,0.040938764406267064,0.1431951869365781,,,,28.8s
83,0.04048812834600985,0.14146720688742928,0.0406829808051734,0.14256277143262153,,,,28.8s
84,0.040301776133509125,0.14146750274149678,0.040490055139097134,0.14173945553543033,,,,28.9s
85,0.04050494715932929,0.14157840552963788,0.04062984781267569,0.14272732772799426,,,,28.9s
86,0.04045396818453249,0.14184522536044886,0.040573178335677744,0.142469572697499,,,,28.8s
87,0.040242899582575896,0.14113856385214418,0.04158474403873894,0.14440147590267566,,,,28.8s
88,0.04011173121521116,0.1410173518653912,0.0393448428416899,0.14014542062384214,,,,28.8s
89,0.040653260601566564,0.1420416262802444,0.04042721142660278,0.1418240172571914,,,,28.8s
